id,host_id,host_profile_id,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,estimated_occupancy_l365d,review_scores_rating,calculated_host_listings_count,reviews_per_month,has_license,price_log,number_of_reviews_log,number_of_reviews_ltm_log,reviews_per_month_log,bedrooms_log,beds_log,bathrooms_log,calculated_host_listings_count_log,price_per_accommodate,price_per_min_night,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,district_Ciutat Vella,district_Eixample,district_Gràcia,district_Horta-Guinardó,district_Les Corts,district_Nou Barris,district_Sant Andreu,district_Sant Martí,district_Sants-Montjuïc,district_Sarrià-Sant Gervasi,neighbourhood_price_encoded,property_type_Entire condo,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Other,property_type_Private room in bed and breakfast,property_type_Private room in condo,property_type_Private room in home,property_type_Private room in hostel,property_type_Private room in rental unit,property_type_Room in boutique hotel,property_type_Room in hotel,property_type_Shared room in hostel,host_tenure_years,host_size_individual,host_size_pequeno,host_size_mediano,host_size_grande,host_entire_homes_ratio,has_reviews,listing_age_days,days_since_last_review,distance_to_center_km,host_user_tenure_years
18674,71615,1462508358342834944,False,True,True,41.40556,2.17262,8,2.0,3.0,5.0,409.0,1.0,999.0,123,59,9,54,4.41,20,0.37,True,6.016157159698354,4.0943445622221,2.302585092994046,0.31481073984003355,1.3862943611198906,1.791759469228055,1.0986122886681098,3.044522437723423,51.125,409.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,266.8418102833836,False,False,False,True,False,False,False,False,False,False,False,False,False,False,15.416666666666666,False,False,True,False,1.0,True,4784.0,35.0,2.046951831234084,16.416666666666668
23197,90417,1462509351463595776,True,True,True,41.41243172529066,2.219750335269476,5,2.0,3.0,4.0,388.0,2.0,1125.0,239,99,11,66,4.84,1,0.53,True,5.963579343618446,4.605170185988092,2.4849066497880004,0.4252677354043441,1.3862943611198906,1.6094379124341003,1.0986122886681098,0.6931471805599453,77.6,194.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,183.7339285630479,False,False,False,True,False,False,False,False,False,False,False,False,False,False,15.416666666666666,True,False,False,False,1.0,True,5588.0,25.0,5.094047714682446,16.25
34981,73163,1462508447204147200,True,True,True,41.37978,2.17623,9,3.0,4.0,6.0,397.13,1.0,1125.0,329,304,37,222,4.59,2,1.59,True,5.986778585117268,5.720311776607412,3.6375861597263857,0.9516578757114464,1.6094379124341003,1.9459101490553132,1.3862943611198906,1.0986122886681098,44.12555555555556,397.13,True,False,False,False,True,False,False,False,False,False,False,False,False,False,222.89796522457144,False,False,False,True,False,False,False,False,False,False,False,False,False,False,15.416666666666666,False,True,False,False,1.0,True,5751.0,37.0,1.0597853516384532,16.416666666666668
36763,158596,1462511238526662656,False,True,True,41.38037,2.19272,1,1.0,1.0,1.0,43.24,31.0,65.0,38,108,0,0,4.79,1,0.6,False,3.7896293572140793,4.6913478822291435,0.0,0.4700036292457355,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,43.24,1.3948387096774195,False,False,True,False,True,False,False,False,False,False,False,False,False,False,142.8286473315376,False,False,False,False,False,False,False,False,False,False,True,False,False,False,15.5,True,False,False,False,0.0,True,5391.0,932.0,2.158809520107884,15.916666666666666
40983,177617,1462511822388459264,True,True,True,41.39631,2.16832,4,1.0,1.0,2.0,226.13,1.0,364.0,289,450,56,255,4.56,5,2.46,True,5.425522540783325,6.111467339502679,4.04305126783455,1.2412685890696329,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.791759469228055,56.5325,226.13,True,False,False,False,False,True,False,False,False,False,False,False,False,False,353.4946843421137,True,False,False,False,False,False,False,False,False,False,False,False,False,False,15.416666666666666,False,True,False,False,0.4,True,5495.0,13.0,0.991022088023652,15.916666666666666
71520,366428,1462516722092106496,False,True,True,41.41841,2.13307,9,3.5,3.0,5.0,417.8,5.0,28.0,363,1,0,0,5.0,1,0.01,True,6.037393478996382,0.6931471805599453,0.0,0.009950330853168083,1.3862943611198906,1.791759469228055,1.5040773967762742,0.6931471805599453,46.422222222222224,83.56,True,False,False,False,False,False,True,False,False,False,False,False,False,False,164.41813110512754,False,False,False,True,False,False,False,False,False,False,False,False,False,False,15.333333333333334,True,False,False,False,1.0,True,5488.0,5488.0,4.546575659210236,15.333333333333334
71553,366654,1462511435656904192,False,True,True,41.39705,2.17469,2,1.5,1.0,1.0,275.5,2.0,1125.0,167,86,2,12,4.25,2,0.46,True,5.6222108209623896,4.465908118654584,1.0986122886681098,0.3784364357202451,0.6931471805599453,0.6931471805599453,0.9162907318741551,1.0986122886681098,137.75,137.75,True,False,False,False,False,True,False,False,False,False,False,False,False,False,353.4946843421137,False,False,False,True,False,False,False,False,False,False,False,False,False,False,15.333333333333334,False,True,False,False,1.0,True,5576.0,24.0,1.1872146910505235,15.333333333333334
71736,368317,1462516745418595072,False,True,True,41.38174,2.16663,5,1.0,4.0,4.0,107.61,31.0,730.0,361,10,0,0,3.88,10,0.05,True,4.687763484291945,2.3978952727983707,0.0,0.04879016416943201,1.6094379124341003,1.6094379124341003,0.6931471805599453,2.3978952727983707,21.522,3.471290322580645,True,False,False,False,True,False,False,False,False,False,False,False,False,False,147.34113550934208,False,False,False,True,False,False,False,False,False,False,False,False,False,False,15.333333333333334,False,True,False,False,1.0,True,5534.0,762.0,0.6504693145130926,15.333333333333334
72436,375625,1462511481641845760,True,True,True,41.39909,2.20733,3,1.0,1.0,2.0,209.0,1.0,28.0,245,1194,210,255,4.75,6,8.28,True,5.3471075307174685,7.085901464365611,5.351858133476067,2.2278615467981093,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.9459101490553132,69.66666666666667,209.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,206.6348677909365,False,False,False,False,True,False,False,False,False,False,False,False,False,False,15.333333333333334,False,True,False,False,1.0,True,4335.0,12.0,3.4824410325237354,15.333333333333334
75411,400154,1462517455599259648,True,True,True,41.40682,2.18649,3,1.0,3.0,3.0,179.67,3.0,330.0,105,151,28,168,4.55,10,0.86,True,5.196672162785836,5.0238805208462765,3.367295829986474,0.6205764877251099,1.3862943611198906,1.3862943611198906,0.6931471805599453,2.3978952727983707,59.88999999999999,59.88999999999999,True,False,False,False,False,False,False,False,False,False,False,True,False,False,146.51213292603208,False,False,False,True,False,False,False,False,False,False,False,False,False,False,15.25,False,True,False,False,1.0,True,5290.0,16.0,2.6248481394673795,15.333333333333334
80004,431839,1462518278115621632,True,True,True,41.37371,2.16706,5,1.0,3.0,3.0,156.11,7.0,1125.0,33,220,18,252,4.7,1,1.2,True,5.056946196959506,5.3981627015177525,2.9444389791664403,0.7884573603642702,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.6931471805599453,31.222,22.301428571428573,True,False,False,False,False,False,False,False,False,False,False,False,True,False,244.40874969962195,False,False,False,True,False,False,False,False,False,False,False,False,False,False,15.25,True,False,False,False,1.0,True,5518.0,23.0,1.527671476250033,15.25
89776,3556337,1462530585781598720,True,True,True,41.39224,2.17806,3,1.0,1.0,2.0,217.0,2.0,999.0,279,467,52,255,4.79,89,2.62,True,5.384495062789089,6.148468295917647,3.970291913552122,1.2864740258376797,0.6931471805599453,1.0986122886681098,0.6931471805599453,4.499809670330265,72.33333333333333,108.5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,353.4946843421137,False,False,False,True,False,False,False,False,False,False,False,False,False,False,13.75,False,False,False,True,1.0,True,5348.0,29.0,0.9552110862762189,13.75
