id,host_id,host_profile_id,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,estimated_occupancy_l365d,review_scores_rating,calculated_host_listings_count,reviews_per_month,has_license,price_log,number_of_reviews_log,number_of_reviews_ltm_log,reviews_per_month_log,bedrooms_log,beds_log,bathrooms_log,calculated_host_listings_count_log,price_per_accommodate,price_per_min_night,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,district_Ciutat Vella,district_Eixample,district_Gràcia,district_Horta-Guinardó,district_Les Corts,district_Nou Barris,district_Sant Andreu,district_Sant Martí,district_Sants-Montjuïc,district_Sarrià-Sant Gervasi,neighbourhood_price_encoded,property_type_Entire condo,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Other,property_type_Private room in bed and breakfast,property_type_Private room in condo,property_type_Private room in home,property_type_Private room in hostel,property_type_Private room in rental unit,property_type_Room in boutique hotel,property_type_Room in hotel,property_type_Shared room in hostel,host_tenure_years,host_size_individual,host_size_pequeno,host_size_mediano,host_size_grande,host_entire_homes_ratio,has_reviews,listing_age_days,days_since_last_review,distance_to_center_km,host_user_tenure_years
999831860659532033,335570948,1469649621450994688,False,True,True,41.3806417,2.1879313,2,1.0,1.0,1.0,62.78,32.0,365.0,83,7,2,128,3.71,23,0.23,False,4.155439661581911,2.0794415416798357,1.0986122886681098,0.2070141693843261,0.6931471805599453,0.6931471805599453,0.6931471805599453,3.1780538303479458,31.39,1.961875,True,False,False,False,True,False,False,False,False,False,False,False,False,False,142.8286473315376,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6.333333333333333,False,False,True,False,1.0,True,901.0,111.0,1.7792788499070222,6.333333333333333
963715416637514032,7318486,1462560316142192384,True,True,True,41.39089,2.17416,2,1.0,1.0,1.0,122.29,31.0,330.0,364,0,0,0,,2,0.0,False,4.814539303880461,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,61.145,3.9448387096774193,False,False,True,False,False,True,False,False,False,False,False,False,False,False,353.4946843421137,False,False,False,False,False,False,False,False,False,False,True,False,False,False,12.916666666666666,False,True,False,False,0.5,False,,,0.6047609939725004,12.916666666666666
939520239602684472,32037490,1465470711848783616,False,True,True,41.3796848,2.1479481,7,2.0,3.0,5.0,417.0,1.0,1125.0,239,58,31,186,4.4,293,1.63,True,6.035481432524756,4.07753744390572,3.4657359027997265,0.9669838461896731,1.3862943611198906,1.791759469228055,1.0986122886681098,5.683579767338681,59.57142857142857,417.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,328.39122847313126,False,False,False,True,False,False,False,False,False,False,False,False,False,False,11.083333333333334,False,False,False,True,0.9829351535836176,True,1072.0,25.0,1.924744371853852,11.083333333333334
19688249,936445,1462533727465294336,True,True,True,41.41351962215579,2.184596021601364,8,3.5,3.0,6.0,342.35,1.0,300.0,275,359,50,255,4.92,3,3.3,True,5.838750335066686,5.886104031450156,3.9318256327243257,1.4586150226995167,1.3862943611198906,1.9459101490553132,1.5040773967762742,1.3862943611198906,42.79375,342.35,True,False,False,False,False,False,False,False,False,False,False,True,False,False,210.15906307651215,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.916666666666666,False,True,False,False,1.0,True,3273.0,15.0,3.196160104954749,14.833333333333334
45246625,238253143,1469267648070132480,False,True,True,41.38239,2.16,4,2.0,1.0,3.0,201.0,1.0,1125.0,339,44,4,24,4.23,14,0.72,True,5.308267697401205,3.80666248977032,1.6094379124341005,0.5423242908253617,0.6931471805599453,1.3862943611198906,1.0986122886681098,2.70805020110221,50.25,201.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,312.32427720988665,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7.083333333333333,False,False,True,False,0.0714285714285714,True,1851.0,151.0,0.9083629643986916,7.416666666666667
8011996,1447144,1462518133520628480,False,True,True,41.40412,2.17256,5,1.0,2.0,5.0,286.0,1.0,330.0,365,0,0,0,,448,0.0,True,5.659482215759621,0.0,0.0,0.0,1.0986122886681098,1.791759469228055,0.6931471805599453,6.1070228877422545,57.2,286.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,266.8418102833836,False,False,False,True,False,False,False,False,False,False,False,False,False,False,14.583333333333334,False,False,False,True,1.0,False,,,1.888295023179147,14.5
4419860,5264883,1462676711314899456,False,True,True,41.39532,2.16708,4,2.0,2.0,3.0,573.0,1.0,1125.0,295,345,31,186,4.78,25,2.57,True,6.352629396319567,5.846438775057725,3.4657359027997265,1.2725655957915476,1.0986122886681098,1.3862943611198906,1.0986122886681098,3.258096538021482,143.25,573.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,353.4946843421137,False,False,False,False,True,False,False,False,False,False,False,False,False,False,11.833333333333334,False,False,True,False,1.0,True,4035.0,31.0,0.8897451628931523,13.25
29274945,220552531,1469164441741181952,True,True,True,41.39712,2.17504,3,1.0,2.0,3.0,230.0,1.0,1125.0,60,341,56,255,4.89,1,3.67,True,5.442417710521793,5.834810737062605,4.04305126783455,1.541159071680806,1.0986122886681098,1.3862943611198906,0.6931471805599453,0.6931471805599453,76.66666666666667,230.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,353.4946843421137,False,False,False,True,False,False,False,False,False,False,False,False,False,False,7.666666666666667,True,False,False,False,1.0,True,2796.0,14.0,1.2069632726172328,7.666666666666667
1421124844283209226,66296022,1466819387757633792,True,True,True,41.381000075027025,2.162327362869439,5,2.0,3.0,3.0,176.96,32.0,330.0,63,0,0,0,,44,0.0,False,5.181558805937841,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,1.0986122886681098,3.80666248977032,35.392,5.53,True,False,False,False,False,True,False,False,False,False,False,False,False,False,312.32427720988665,False,False,False,True,False,False,False,False,False,False,False,False,False,False,10.166666666666666,False,False,True,False,1.0,False,,,0.8833418422877477,10.166666666666666
831589900791249424,32037490,1465470711848783616,False,True,True,41.39534,2.1723,4,2.0,2.0,2.0,311.5,2.0,1125.0,241,156,62,255,4.78,293,3.86,True,5.744604469176457,5.056245805348308,4.143134726391533,1.5810384379124025,1.0986122886681098,1.0986122886681098,1.0986122886681098,5.683579767338681,77.875,155.75,True,False,False,False,False,True,False,False,False,False,False,False,False,False,353.4946843421137,False,False,False,True,False,False,False,False,False,False,False,False,False,False,11.083333333333334,False,False,False,True,0.9829351535836176,True,1218.0,14.0,0.9352845266668278,11.083333333333334
