id,host_id,host_profile_id,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,estimated_occupancy_l365d,review_scores_rating,calculated_host_listings_count,reviews_per_month,has_license,price_log,number_of_reviews_log,number_of_reviews_ltm_log,reviews_per_month_log,bedrooms_log,beds_log,bathrooms_log,calculated_host_listings_count_log,price_per_accommodate,price_per_min_night,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,district_Alaró,district_Alcúdia,district_Algaida,district_Andratx,district_Ariany,district_Artà,district_Banyalbufar,district_Binissalem,district_Bunyola,district_Búger,district_Calvià,district_Campanet,district_Campos,district_Capdepera,district_Consell,district_Costitx,district_Deyá,district_Escorca,district_Esporles,district_Estellencs,district_Felanitx,district_Fornalutx,district_Inca,district_Lloret de Vistalegre,district_Lloseta,district_Llubí,district_Llucmajor,district_Manacor,district_Mancor de la Vall,district_Maria de la Salut,district_Marratxí,district_Montuïri,district_Muro,district_Palma de Mallorca,district_Petra,district_Pollença,district_Porreres,district_Puigpunyent,district_Sa Pobla,district_Sant Joan,district_Sant Llorenç des Cardassar,district_Santa Eugènia,district_Santa Margalida,district_Santa María del Camí,district_Santanyí,district_Selva,district_Sencelles,district_Ses Salines,district_Sineu,district_Son Servera,district_Sóller,district_Valldemossa,district_Vilafranc de Bonany,neighbourhood_price_encoded,property_type_Camper/RV,property_type_Entire chalet,property_type_Entire condo,property_type_Entire cottage,property_type_Entire guesthouse,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Entire townhouse,property_type_Entire vacation home,property_type_Entire villa,property_type_Other,property_type_Private room in bed and breakfast,property_type_Private room in home,property_type_Private room in rental unit,property_type_Room in aparthotel,property_type_Room in boutique hotel,property_type_Room in hotel,host_tenure_years,host_size_individual,host_size_pequeno,host_size_mediano,host_size_grande,host_entire_homes_ratio,has_reviews,listing_age_days,days_since_last_review,distance_to_center_km,n_nearby_150m,has_ac,has_pool,has_sea_view,n_amenities,host_user_tenure_years
50168380,66176030,1466818032585878709,False,True,True,39.40708,3.25991,8,4.0,4.0,5.0,1500.0,5.0,1125.0,365,1,0,0,4.0,159,0.03,True,7.313886831633462,0.6931471805599453,0.0,0.0295588022415444,1.6094379124341005,1.791759469228055,1.6094379124341005,5.075173815233827,187.5,300.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,742.9394428827223,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,10.166666666666666,False,False,False,True,1.0,True,1030.0,1030.0,55.50047147793046,3,True,True,False,13,10.166666666666666
880348574015608245,454466100,1470044617693271684,False,True,True,39.70797719999999,3.4584533,12,4.0,6.0,12.0,675.0,4.0,1125.0,128,0,0,0,,3,0.0,True,6.516193076042964,0.0,0.0,0.0,1.9459101490553132,2.5649493574615367,1.6094379124341005,1.3862943611198906,56.25,168.75,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,563.3323781886018,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3.25,False,True,False,False,1.0,False,,,71.19050049700787,3,True,False,False,34,4.166666666666667
2522920,12917605,1462584340672667837,True,True,True,39.66641616821289,2.6836180686950684,6,3.5,3.0,5.0,685.0,1.0,1125.0,190,59,6,36,4.76,1,0.54,True,6.530877627725885,4.0943445622221,1.9459101490553132,0.4317824164255378,1.3862943611198906,1.791759469228055,1.5040773967762742,0.6931471805599453,114.16666666666669,685.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,728.7302422184495,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,12.25,True,False,False,False,1.0,True,3268.0,15.0,11.449518592926898,0,False,True,False,74,12.25
40776887,91812176,1467109199650116893,False,True,True,39.69712,2.93528,8,3.0,4.0,4.0,716.29,7.0,21.0,260,5,3,42,5.0,1,0.08,True,6.57548022186694,1.791759469228055,1.3862943611198906,0.0769610411361283,1.6094379124341005,1.6094379124341005,1.3862943611198906,0.6931471805599453,89.53625,102.32714285714285,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,627.5129482024246,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6.5,True,False,False,False,1.0,True,1885.0,33.0,28.568529622141018,0,True,True,False,32,9.75
13311255,75223888,1466924845535166301,True,True,True,39.72466923177072,2.871749446000942,8,4.0,4.0,7.0,662.0,1.0,90.0,312,106,8,48,4.92,2,0.9,True,6.4967749901858625,4.672828834461906,2.1972245773362196,0.6418538861723948,1.6094379124341005,2.0794415416798357,1.6094379124341005,1.0986122886681098,82.75,662.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,769.6893197785969,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,10.0,False,True,False,False,1.0,True,3531.0,247.0,25.984271083047936,0,True,True,False,59,10.0
948643,5143382,1462539152013737381,False,True,True,39.448687,3.127699,6,3.0,3.0,4.0,348.25,4.0,1125.0,195,13,2,16,4.92,1,0.1,True,5.855787998137071,2.6390573296152584,1.0986122886681098,0.0953101798043248,1.3862943611198906,1.6094379124341005,1.3862943611198906,0.6931471805599453,58.041666666666664,87.0625,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,742.9394428827223,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,13.0,True,False,False,False,1.0,True,4026.0,305.0,43.26456282227067,0,False,True,False,73,13.333333333333334
51553334,101357261,1467216098992738524,False,True,True,39.76339,3.15021,2,1.0,1.0,1.0,112.5,2.0,1125.0,250,50,15,90,4.76,4,0.86,True,4.7318028369214575,3.9318256327243257,2.772588722239781,0.6205764877251099,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.6094379124341005,56.25,56.25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,570.0086407110826,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,9.25,False,True,False,False,1.0,True,1762.0,54.0,48.24665503563833,1,True,True,False,38,9.583333333333334
1700092198334979687,98725681,1467186729815762114,False,True,True,39.385176729789904,2.9366520792245865,4,2.0,2.0,4.0,269.6,3.0,21.0,123,0,0,0,,3,0.0,True,5.600641715736688,0.0,0.0,0.0,1.0986122886681098,1.6094379124341005,1.0986122886681098,1.3862943611198906,67.4,89.86666666666667,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,672.8046331669328,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7.083333333333333,False,True,False,False,1.0,False,,,32.03848707859368,5,True,True,False,47,9.666666666666666
45306979,313785862,1469590798199660819,False,True,True,39.8771,3.04589,6,2.0,3.0,5.0,348.0,1.0,1125.0,43,13,3,18,4.31,119,0.22,True,5.855071922202427,2.6390573296152584,1.3862943611198906,0.1988508587451652,1.3862943611198906,1.791759469228055,1.0986122886681098,4.787491742782046,58.0,348.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,582.7915371090588,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6.416666666666667,False,False,False,True,1.0,True,1765.0,16.0,48.45816374888833,2,True,True,False,32,6.5
5477119,28403666,1465419256085971824,True,True,True,39.45913,2.91894,6,2.0,3.0,7.0,459.5,4.0,31.0,80,23,5,40,5.0,3,0.17,True,6.132312855695361,3.1780538303479458,1.791759469228055,0.1570037488096647,1.3862943611198906,2.0794415416798357,1.0986122886681098,1.3862943611198906,76.58333333333333,114.875,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,672.8046331669328,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,11.25,False,True,False,False,1.0,True,3967.0,22.0,26.21596253545114,0,True,True,False,52,11.25
