id,host_id,host_profile_id,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,estimated_occupancy_l365d,review_scores_rating,calculated_host_listings_count,reviews_per_month,has_license,price_log,number_of_reviews_log,number_of_reviews_ltm_log,reviews_per_month_log,bedrooms_log,beds_log,bathrooms_log,calculated_host_listings_count_log,price_per_accommodate,price_per_min_night,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,district_Algiros,district_Benicalap,district_Benimaclet,district_Camins al Grau,district_Campanar,district_Ciutat Vella,district_El Pla del Real,district_Extramurs,district_Jesus,district_L'Eixample,district_L'Olivereta,district_La Saidia,district_Patraix,district_Poblats Maritims,district_Poblats de l'Oest,district_Poblats del Nord,district_Poblats del Sud,district_Quatre Carreres,district_Rascanya,neighbourhood_price_encoded,property_type_Entire condo,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Entire townhouse,property_type_Other,property_type_Private room in bed and breakfast,property_type_Private room in casa particular,property_type_Private room in condo,property_type_Private room in home,property_type_Private room in hostel,property_type_Private room in rental unit,property_type_Room in aparthotel,property_type_Room in hotel,host_tenure_years,host_size_individual,host_size_pequeno,host_size_mediano,host_size_grande,host_entire_homes_ratio,has_reviews,listing_age_days,days_since_last_review,distance_to_center_km,n_nearby_150m,has_ac,has_pool,has_dishwasher,n_amenities,host_user_tenure_years
48154,219476,1462512950298658048,True,True,True,Morvedre,39.48375,-0.37502,4,1.0,2.0,2.0,145.5,2.0,25.0,98,223,35,210,4.61,4,1.17,True,4.987025428457122,5.4116460518550396,3.58351893845611,0.7747271675523681,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.6094379124341003,36.375,72.75,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,161.30969935076695,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,15.416666666666666,False,True,False,False,1.0,True,5742.0,18.0,1.5439633235545482,28,True,False,False,21,15.75
149715,5947,1462506514113160192,True,True,True,Cabanyal-Canyamelar,39.46746,-0.32813,10,4.0,5.0,7.0,485.0,1.0,9.0,258,344,43,255,4.67,1,1.89,True,6.186208623900494,5.84354441703136,3.784189633918261,1.0612565021243408,1.791759469228055,2.0794415416798357,1.6094379124341003,0.6931471805599453,48.5,485.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,195.17308366462774,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,15.416666666666666,True,False,False,False,1.0,True,5458.0,11.0,4.143775118974537,41,True,False,True,62,17.416666666666668
165971,791187,1462529534006996224,True,True,True,La Roqueta,39.4679,-0.38206,5,1.0,1.0,3.0,211.2,1.0,10.0,97,612,47,255,4.88,12,3.37,True,5.357529226179882,6.418364935936212,3.871201010907891,1.4747630091074988,0.6931471805599453,1.3862943611198906,0.6931471805599453,2.5649493574615367,42.239999999999995,211.2,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,177.47901924215373,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,14.916666666666666,False,False,True,False,1.0,True,5458.0,35.0,0.5421453239394541,38,True,False,True,38,14.916666666666666
182221,1315567,1462517272797878784,False,True,False,Aiora,39.46321169775777,-0.3432785962616763,5,1.0,2.0,5.0,352.2,3.0,11.0,149,10,1,6,4.6,2,0.08,True,5.867034468729805,2.3978952727983707,0.6931471805599453,0.07696104113612832,1.0986122886681098,1.791759469228055,0.6931471805599453,1.0986122886681098,70.44,117.39999999999999,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,179.7086202555393,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.666666666666666,False,True,False,False,1.0,True,3985.0,179.0,2.9305611509426317,31,True,False,True,62,14.666666666666666
193326,937597,1462533750280737024,True,True,True,Cabanyal-Canyamelar,39.47299020968316,-0.3289203845922382,2,1.0,1.0,2.0,75.0,1.0,1125.0,24,417,41,246,4.88,2,2.33,True,4.330733340286331,6.035481432524756,3.7376696182833684,1.2029723039923526,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.0986122886681098,37.5,75.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,195.17308366462774,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,14.833333333333334,False,True,False,False,0.0,True,5365.0,34.0,4.081366021795503,68,False,False,False,55,14.833333333333334
225070,937597,1462533750280737024,True,True,True,Cabanyal-Canyamelar,39.47149687619153,-0.3311840597846388,1,1.0,1.0,3.0,80.0,1.0,1125.0,58,300,33,198,4.84,2,1.69,True,4.394449154672439,5.707110264748875,3.5263605246161616,0.9895411936137477,0.6931471805599453,1.3862943611198906,0.6931471805599453,1.0986122886681098,80.0,80.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,195.17308366462774,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,14.833333333333334,False,True,False,False,0.0,True,5321.0,15.0,3.876681012100095,69,False,False,False,54,14.833333333333334
250981,1315567,1462517272797878784,False,True,False,La Creu del Grau,39.46233,-0.34263,5,1.0,2.0,3.0,313.82,10.0,60.0,300,6,0,0,4.0,2,0.04,True,5.752001046926676,1.9459101490553132,0.0,0.039220713153281295,1.0986122886681098,1.3862943611198906,0.6931471805599453,1.0986122886681098,62.763999999999996,31.381999999999998,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,155.40232850293668,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,14.666666666666666,False,True,False,False,1.0,True,4302.0,424.0,3.010395004962421,30,True,False,False,27,14.666666666666666
252608,1326001,1462542815388660736,False,True,True,La Xerea,39.47396,-0.37405,2,1.0,1.0,2.0,99.03,31.0,1125.0,88,4,0,0,4.5,1,0.02,False,4.605470140997089,1.6094379124341003,0.0,0.019802627296179712,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,49.515,3.194516129032258,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,168.5674487887497,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.666666666666666,True,False,False,False,1.0,True,5135.0,1770.0,0.4910268958675179,34,True,False,False,38,14.666666666666666
253764,1332880,1462543002718565632,False,True,True,Cabanyal-Canyamelar,39.466515,-0.325345,5,2.0,2.0,2.0,345.0,3.0,1125.0,32,85,16,96,4.52,3,0.49,True,5.846438775057725,4.454347296253507,2.833213344056216,0.3987761199573678,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.3862943611198906,69.0,115.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,195.17308366462774,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,14.666666666666666,False,True,False,False,1.0,True,5216.0,25.0,4.390140837495954,14,True,False,True,46,14.666666666666666
260929,140702,1462509985895629312,True,True,True,Exposicio,39.47507,-0.36296,2,1.0,1.0,1.0,72.0,2.0,60.0,42,227,69,255,4.74,3,1.42,False,4.290459441148391,5.429345628954441,4.248495242049359,0.883767540168595,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.3862943611198906,36.0,36.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,181.63563099466197,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,15.416666666666666,False,True,False,False,0.0,True,4812.0,28.0,1.281245178667546,4,False,False,True,51,16.0
